Series Name,Series Code,CountryName,Country Code,GDP,,,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,10280.31486,,,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,7913.988015,,,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,1011.1,,,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,European Union,EUU,43145.15669,,,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,3426.434833,,,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,2696.6639,,,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,4925.430488,,,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,8452.37167,,,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,1072.713698,,,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Vietnam,VNM,4717.290287,,,,,,,,,,
